codeDepartement,Libellé département,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 16,58
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 16,"0,01%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 16,"0,01%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 16,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 17,17
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 17,LDIV
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 17,POUR UNE AUTRE EUROPE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 17,POUR UNE AUTRE EUROPE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 17,100
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 17,"0,01%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 17,"0,02%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 17,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 18,18
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 18,LLR
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 18,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE
